IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
141.101.121.148,4,4,0.00,320.24,35.65
141.101.115.42,4,4,0.00,317.63,28.95
141.101.121.53,4,4,0.00,312.70,27.28
141.101.121.154,4,4,0.00,324.71,20.94
141.101.121.191,4,4,0.00,296.78,11.42
141.101.122.4,4,4,0.00,298.90,9.00
188.114.96.25,4,4,0.00,320.49,7.86
141.101.122.253,4,4,0.00,325.94,5.86
188.114.96.55,4,4,0.00,321.76,5.33
188.114.96.59,4,4,0.00,323.52,5.01
