IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
141.101.121.132,4,4,0.00,290.53,43.48
141.101.121.236,4,4,0.00,290.78,7.30
38.177.232.133,4,4,0.00,148.26,0.00
38.177.228.195,4,4,0.00,171.96,0.00
38.177.225.157,4,4,0.00,235.31,0.00
141.101.90.0,4,4,0.00,290.40,0.00
38.177.232.166,4,4,0.00,125.22,0.00
38.177.229.134,4,4,0.00,133.56,0.00
1.0.0.14,4,4,0.00,291.04,0.00
141.101.90.17,4,4,0.00,296.83,0.00
