IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.19.63.11,4,4,0.00,151.28,39.38
104.19.49.88,4,4,0.00,153.18,30.04
104.19.67.55,4,4,0.00,152.63,20.87
104.19.50.228,4,4,0.00,151.76,4.10
104.19.26.230,4,4,0.00,152.49,3.38
104.19.118.223,4,4,0.00,153.08,2.10
104.19.43.113,4,4,0.00,152.27,1.04
104.19.86.228,4,4,0.00,153.03,0.71
104.19.5.133,4,4,0.00,152.67,0.47
104.19.121.122,4,4,0.00,150.94,0.00
