IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.21.244.254,4,4,0.00,159.81,24.67
198.41.208.247,4,4,0.00,175.05,23.61
141.101.123.94,4,4,0.00,175.54,21.89
104.22.55.92,4,4,0.00,176.03,21.65
104.16.8.163,4,4,0.00,166.42,20.64
104.22.56.151,4,4,0.00,174.64,18.68
162.159.44.173,4,4,0.00,175.25,17.40
104.22.60.143,4,4,0.00,170.24,9.05
104.22.61.213,4,4,0.00,176.23,7.29
104.22.57.120,4,4,0.00,175.30,6.48
