IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.21.48.124,4,4,0.00,290.06,49.25
172.67.128.104,4,4,0.00,294.51,41.93
172.67.174.151,4,4,0.00,300.85,21.67
104.21.12.250,4,4,0.00,293.25,17.90
172.67.195.87,4,4,0.00,299.76,17.23
104.21.2.14,4,4,0.00,285.76,16.19
104.21.42.200,4,4,0.00,299.62,13.35
104.21.42.200,4,4,0.00,300.49,11.94
172.67.174.151,4,4,0.00,291.91,11.63
172.67.162.83,4,4,0.00,299.51,11.48
