IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.149.96,4,4,0.00,303.99,29.04
104.17.62.101,4,4,0.00,270.14,19.01
104.21.91.55,4,4,0.00,312.62,17.08
172.67.167.80,4,4,0.00,308.37,15.71
104.16.112.135,4,4,0.00,273.20,13.50
172.67.186.150,4,4,0.00,329.52,9.74
104.18.38.155,4,4,0.00,333.48,9.70
104.21.91.55,4,4,0.00,308.74,7.57
172.67.143.16,4,4,0.00,333.71,7.45
172.67.167.80,4,4,0.00,326.71,6.57
